label,url,hostname,length_of_fqdn,replica_in_fqdn,in_top_one_million,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,china_registered,under_a_year,under_a_year_dummy,china_registered_dummy
1,http://hhgztx.com/&sa=U&ved=0ahUKEwi3j9rMuevWAhVMGJQKHRG5B3E4RhAWCBMwAA&usg=AOvVaw3L0MOoPT9Gg-nAhU61JP-s,hhgztx.com,10,0,0,1,1,0.8103260869565218,0,0,1,1,0,0
1,http://wuxianheadset.com/&sa=U&ved=0ahUKEwj4or_y3v7WAhXIJJQKHca1CdM4RhAWCBkwAQ&usg=AOvVaw3fW3vh-gCf8FEfUXzvLylI,wuxianheadset.com,17,0,0,1,1,0.6666666666666666,0,0,1,1,0,0
1,http://www.51ruila.com/&sa=U&ved=0ahUKEwi66ty3m_vWAhUMwI8KHdLVAVk4PBAWCBMwAA&usg=AOvVaw0qz-ywDzaTcbjkSGaFJyll,www.51ruila.com,15,1,0,1,1,0.654913728432108,0,0,1,1,0,0
1,http://www.guessshoubiao2014.club/&sa=U&ved=0ahUKEwjju7qFzvrWAhUHW5QKHeLrBjk4RhAWCDgwBg&usg=AOvVaw2fXJI8jLEqdr6wtYFHu7Zv,www.guessshoubiao2014.club,26,1,0,0,0,0,0,0,0,1,0,0
1,http://www.caaaoach-renmin.club/&sa=U&ved=0ahUKEwig6aOPzvrWAhUJJJQKHVQkCUM4UBAWCBgwAQ&usg=AOvVaw2I55HwuVvZjy1yMmLuPeJi,www.caaaoach-renmin.club,24,0,0,0,0,0,0,0,0,1,0,0
1,http://www.pradabaobao2014.club/&sa=U&ved=0ahUKEwig6aOPzvrWAhUJJJQKHVQkCUM4UBAWCCkwBA&usg=AOvVaw3OX7UzdyQ0jfqyG4jpdK6m,www.pradabaobao2014.club,24,1,0,0,0,0,0,0,0,1,0,0
1,http://www.never-full.com/product.asp%3Fid%3D5723&sa=U&ved=0ahUKEwjUg8D3s_7WAhVHk5QKHRPVBnw4RhAWCBowAA&usg=AOvVaw0f9b1V9922QLhCddZ_lXmt,www.never-full.com,18,0,0,0,0,0,0,0,0,0,1,1
1,http://www.taipei-lv.com/product.asp%3FID%3D9564&sa=U&ved=0ahUKEwj54KGBtP7WAhVCpJQKHUn1Cts4UBAWCCcwBQ&usg=AOvVaw2cXZy_d2VG8fGQy_ij_6Wo,www.taipei-lv.com,17,0,0,0,0,0,0,0,0,1,0,1
1,http://www.chanel-boy.com/product.asp%3Fid%3D11297&sa=U&ved=0ahUKEwj54KGBtP7WAhVCpJQKHUn1Cts4UBAWCDQwCA&usg=AOvVaw3fuy2b6e28bc2FecXYt0MS,www.chanel-boy.com,18,0,0,0,0,0,0,0,0,0,1,1
1,http://51headphone.com/&sa=U&ved=0ahUKEwiZgI_uvvvWAhUFjpQKHcDiDuA4MhAWCDMwBg&usg=AOvVaw1McvdgMjwgubvDFyVNYHZn,51headphone.com,15,1,0,1,1,0.4891304347826087,0,0,1,1,0,0
1,http://www.wjfhby.com/thread-24-1-1.html&sa=U&ved=0ahUKEwiboY-VlPzWAhUBLJQKHcZYAm04HhAWCDMwBA&usg=AOvVaw26NkDg8a-Csyccty1GzP0P,www.wjfhby.com,14,0,0,0,0,0,0,0,0,1,0,0
1,http://propage.linyn.mobi/SuperCissus,propage.linyn.mobi,18,0,0,0,0,0,0,0,0,0,1,1
1,http://propage.linyn.mobi/betheboss,propage.linyn.mobi,18,0,0,0,0,0,0,0,0,0,0,0
1,http://propage.linyn.mobi/A-BeeZin,propage.linyn.mobi,18,0,0,0,0,0,0,0,0,0,1,1
1,http://propage.linyn.mobi/angelLaLa,propage.linyn.mobi,18,0,0,0,0,0,0,0,0,0,0,0
1,http://propage.linyn.mobi/Lacfina,propage.linyn.mobi,18,0,0,0,0,0,0,0,0,0,1,1
1,http://propage.linyn.mobi/SnowWhite,propage.linyn.mobi,18,0,0,0,0,0,0,0,0,0,0,0
1,http://propage.linyn.mobi/raison-man,propage.linyn.mobi,18,0,0,0,0,0,0,0,0,0,1,1
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=648511103145,www.purchase-cycle.com,22,0,0,1,1,0.49056603773584906,0,0,1,1,0,0
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=380010029585,www.purchase-cycle.com,22,0,0,1,2,0.5677210056772101,0,0,0,1,0,1
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=854310781485,www.purchase-cycle.com,22,0,0,1,1,0.5154639175257731,0,0,1,1,0,0
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=072910528075,www.purchase-cycle.com,22,0,0,1,1,0.5670103092783505,0,0,0,1,0,1
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=198932513374,www.purchase-cycle.com,22,0,0,1,1,0.547945205479452,0,0,1,1,0,0
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=384610095745,www.purchase-cycle.com,22,0,0,1,1,0.6881720430107527,0,0,0,1,0,1
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=987729987434,www.purchase-cycle.com,22,0,0,0,0,0,0,0,1,1,0,0
1,http://www.purchase-cycle.com/pc/gray/home/Index/details?id=345604911494,www.purchase-cycle.com,22,0,0,1,1,0.5,0,0,0,1,0,1
1,http://palbur.com/,palbur.com,10,0,0,1,2,0.6220600162206001,0,0,1,1,0,0
1,http://bcnshoulder.com/,bcnshoulder.com,15,0,0,1,1,0.7142857142857143,0,0,1,1,0,0
1,http://polo.uushoper.com/,polo.uushoper.com,17,0,0,1,1,0.5747126436781609,0,0,1,1,0,0
1,http://zuku.uushoper.com/,zuku.uushoper.com,17,0,0,1,1,0.7264957264957265,0,0,1,1,0,0
1,http://huangling.uushoper.com/,huangling.uushoper.com,22,0,0,1,1,0.832,0,0,1,1,0,0
1,http://dilaini.uushoper.com/,dilaini.uushoper.com,20,0,0,1,1,0.6799199799949988,0,0,1,1,0,0
1,http://xcds.uushoper.com/,xcds.uushoper.com,17,0,0,1,1,0.6538669551108708,0,0,1,1,0,0
1,http://shezbig.uushoper.com/,shezbig.uushoper.com,20,0,0,1,1,0.723889555822329,0,0,1,1,0,0
1,http://skin.uushoper.com/,skin.uushoper.com,17,0,0,1,1,0.5949161709031909,0,0,1,1,0,0
1,http://www.51lp99.com/,www.51lp99.com,14,1,0,1,1,0.8602,0,0,1,1,0,0
1,http://hwxlx.com/,hwxlx.com,9,0,0,1,1,0.7051282051282052,0,0,1,1,0,0
1,http://51handmadeshoes.com/,51handmadeshoes.com,19,1,0,1,1,0.7499604367779712,0,0,1,1,0,0
1,http://51zexin.com/,51zexin.com,11,1,0,1,1,0.6538669551108708,0,0,1,1,0,0
1,http://chengxiang.uushoper.com/,chengxiang.uushoper.com,23,0,0,1,1,0.872,0,0,1,1,0,0
1,http://51yufan.com/,51yufan.com,11,1,0,1,1,0.4004004004004004,0,0,1,1,0,0
1,http://51nsfb.com/,51nsfb.com,10,1,0,1,1,0.6754188547136785,0,0,1,1,0,0
1,http://51mmkz.com/,51mmkz.com,10,1,0,1,1,0.6538669551108708,0,0,1,1,0,0
1,http://5iswsnb.com/,5iswsnb.com,11,0,0,1,1,0.7237122179650916,0,0,1,1,0,0
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=705010707165,www.idea-trend.com,18,0,0,1,1,0.7022770802298361,0,0,0,0,1,1
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=509510293125,www.idea-trend.com,18,0,0,1,1,0.581096196868009,0,0,0,1,0,1
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=540824362704,www.idea-trend.com,18,0,0,1,1,0.43130280124499776,0,0,0,0,1,1
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=266818703684,www.idea-trend.com,18,0,0,1,1,0.5096499836440955,0,0,0,1,0,1
1,http://www.wonder-store.com/pc/gray/home/Index/details?id=679466246444,www.wonder-store.com,20,0,0,1,1,0,0,0,0,0,1,1
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=226465439624,www.idea-trend.com,18,0,0,1,1,0.6999332443257676,0,0,0,1,0,1
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=490397947974,www.idea-trend.com,18,0,0,1,1,0.48120580573129884,0,0,0,0,1,1
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=191342846504,www.idea-trend.com,18,0,0,1,1,0.5244996549344375,0,0,0,1,0,1
1,http://www.idea-trend.com/pc/gray/home/Index/details?id=224226642424,www.idea-trend.com,18,0,0,1,1,0.45349702380952384,0,0,0,0,1,1
1,http://www.juicyorangex.com/retailers/boot.k.php,www.juicyorangex.com,20,0,0,1,2,0.7775478530781169,0,0,0,1,0,1
1,http://www.juicyorangex.com/retailers/liif.php,www.juicyorangex.com,20,0,0,1,2,0.5438356164383562,0,0,0,0,1,1
1,http://www.juicyorangex.com/retailers/soap.php,www.juicyorangex.com,20,0,0,1,1,0.7226236798221234,0,0,0,1,0,1
1,http://www.juicyorangex.com/retailers/foot.php,www.juicyorangex.com,20,0,0,1,2,0.7224228952486802,0,0,0,0,1,1
1,http://www.juicyorangex.com/retailers/heartpendants.php,www.juicyorangex.com,20,0,0,1,2,0.5,0,0,0,1,0,1
1,http://www.juicyorangex.com/retailers/heartnecklaces.php,www.juicyorangex.com,20,0,0,1,2,0.7333333333333333,0,0,0,0,1,1
1,http://www.juicyorangex.com/retailers/m26smartwatch.php,www.juicyorangex.com,20,0,0,1,2,0.5,0,0,0,1,0,1
1,http://www.juicyorangex.com/retailers/fashionbags.php,www.juicyorangex.com,20,0,0,1,2,0.5,0,0,0,0,1,1
1,http://www.juicyorangex.com/retailers/malewatch.php,www.juicyorangex.com,20,0,0,1,2,0.9,0,0,0,1,0,1
1,http://www.juicyorangex.com/retailers/irregularneck.php,www.juicyorangex.com,20,0,0,1,2,0.4,0,0,0,0,1,1
1,http://www.juicyorangex.com/retailers/offshoulderswimsuit.php,www.juicyorangex.com,20,0,0,1,2,0.4122766834631241,0,0,0,1,0,1
1,http://www.juicyorangex.com/retailers/vinswimsuit.php,www.juicyorangex.com,20,0,0,1,2,0.4,0,0,0,0,1,1
1,http://www.neysmt.com/ynlsnecklaces,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,1,0,1
1,http://www.neysmt.com/smartwatchs,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,0,1,1
1,http://www.neysmt.com/goldnecklaces,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,1,0,1
1,http://www.neysmt.com/dancerobots,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,0,1,1
1,http://www.neysmt.com/hktgbracelets,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,1,0,1
1,http://www.neysmt.com/chaquetas,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,0,1,1
1,http://www.neysmt.com/xjpjgptis,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,1,0,1
1,http://www.neysmt.com/mlxytwswatchs,www.neysmt.com,14,0,0,0,0,0,0,0,0,0,1,1
1,http://www.neysmt.com/trousers,www.neysmt.com,14,0,0,0,0,0,0,0,0,1,0,1
1,http://www.neysmt.com/vehicles,www.neysmt.com,14,0,0,0,0,0,0,0,0,0,1,1
1,http://www.neysmt.com/skirts,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,1,0,1
1,http://www.neysmt.com/drys,www.neysmt.com,14,0,0,1,3,0.5,0,0,0,0,1,1
1,http://www.neysmt.com/swabs,www.neysmt.com,14,0,0,1,2,0.37447698744769875,0,0,0,1,0,1
1,http://www.neysmt.com/shoes,www.neysmt.com,14,0,0,1,4,0.5,0,0,0,0,1,1
1,http://www.neysmt.com/waterpick,www.neysmt.com,14,0,0,1,21,0.5,0,0,0,1,0,1
1,http://www.neysmt.com/watchs,www.neysmt.com,14,0,0,1,21,0.5,0,0,0,0,1,1
1,http://www.neysmt.com/bracelet,www.neysmt.com,14,0,0,1,21,0.5,0,0,0,1,0,1
1,http://www.neysmt.com/bracelets,www.neysmt.com,14,0,0,1,21,0.5,0,0,0,0,1,1
1,http://xshnq.christina01.com/,xshnq.christina01.com,21,1,0,1,1,0.8469688051795173,0,0,0,1,0,1
1,http://aodle.christina01.com/,aodle.christina01.com,21,1,0,1,1,0.927536231884058,0,0,0,0,1,1
1,http://cocotwstar.com/431090124/home.html,cocotwstar.com,14,0,0,0,0,0,0,0,0,1,0,1
1,http://thermos.kogone.com/,thermos.kogone.com,18,0,0,1,1,0,0,0,1,1,0,0
1,http://www.cooperationpro.com/pc/gray/home/Index/track,www.cooperationpro.com,22,0,0,0,0,0,0,0,0,1,0,1
1,http://www.vcgpg.com/harmanstudio,www.vcgpg.com,13,0,0,1,1,0.8388732394366197,0,0,0,0,1,1
1,https://www.savemore.com.tw/checkout/,www.savemore.com.tw,19,0,0,0,0,0,0,0,0,0,1,1
1,http://www.shopeneed.com/carshopA/,www.shopeneed.com,17,0,0,1,2,0,0,0,0,0,1,1
1,http://www.vbtxc.com/luckyly,www.vbtxc.com,13,0,0,1,3,0,0,0,0,0,1,1
1,http://5ionelove.com/tw,5ionelove.com,13,0,0,1,2,0.9,0,0,1,1,0,0
1,http://www.zragu.com/,www.zragu.com,13,0,0,0,0,0,0,0,0,0,1,1
1,http://5ichampion.com/,5ichampion.com,14,0,0,0,0,0,0,0,1,1,0,0
1,http://qzon.jtbsuxdu.com/,qzon.jtbsuxdu.com,17,0,0,1,1,0.47368421052631576,0,0,0,0,1,1
1,http://www.zragu.com/Emphasis,www.zragu.com,13,0,0,1,3,0.8178506375227687,0,0,0,1,0,1
1,http://www.client-supreme.com/bigapo,www.client-supreme.com,22,0,0,1,18,0.5003571428571428,0,0,0,0,1,1
1,http://www.rufflesdress.com/FiEbgZz.html,www.rufflesdress.com,20,0,0,1,1,0.66711140760507,0,0,0,1,0,1
1,http://www.store-pretty.com/product,www.store-pretty.com,20,0,0,1,1,0.5333333333333333,0,0,0,0,1,1
1,https://www.prizes-tw.com/cgi-bin/wingame.pl,www.prizes-tw.com,17,0,0,0,0,0,0,0,0,1,0,0
1,http://www.cover-newly.com/pc/gray/home/Index/details,www.cover-newly.com,19,0,0,0,0,0,0,0,0,0,1,1
1,http://posdf.rekutmall.com/index.html,posdf.rekutmall.com,19,0,0,0,0,0,0,0,0,1,0,1
1,http://www.juicyorangex.com/retailers/sdcoat.php#pl,www.juicyorangex.com,20,0,0,1,1,0.7437179487179487,0,0,0,0,1,1
1,http://www.kfeuc.com/twfkb,www.kfeuc.com,13,0,0,1,2,0,0,0,0,1,0,1
1,http://iopjk.jtbsuxdu.com/index.html,iopjk.jtbsuxdu.com,18,0,0,1,1,0.7667944657442907,0,0,0,0,1,1
1,http://www.uayec.com/kljhy,www.uayec.com,13,0,0,1,1,0.7000300571085062,0,0,0,0,0,1
1,http://www.yjiong.com/beauty,www.yjiong.com,14,0,0,1,1,1,0,0,0,0,1,1
1,http://www.papagoking.com/Inflated,www.papagoking.com,18,0,0,1,2,0.5403973509933775,0,0,0,1,0,1
1,http://n7.solefa.com/,n7.solefa.com,13,0,0,1,1,0.6999892392123104,0,0,0,0,1,1
1,http://www.axiwb.com/hkpdl,www.axiwb.com,13,0,0,1,7,0.8467817896389325,0,0,0,1,0,1
