label,url,hostname,length_of_fqdn,replica_in_fqdn,in_top_one_million,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,china_registered,under_a_year,under_a_year_dummy,china_registered_dummy
0,http://www.miu-star.com.tw/v2/official,www.miu-star.com.tw,19,0,0,1.0,32.0,0.25548351170112504,0,0,0,0,0,1
0,https://www.tokichoi.com.tw/,www.tokichoi.com.tw,19,0,0,1.0,32.0,0.25548351170112504,0,0,0,0,1,1
0,http://candybox.com.tw/v2/official,candybox.com.tw,15,0,0,1.0,17.0,0.0,0,0,0,0,0,1
0,https://www.lulus.tw/v2/official,www.lulus.tw,12,0,0,1.0,9.0,0.25548351170112504,0,0,0,0,0,1
0,http://www.pufii.com.tw/Shop/,www.pufii.com.tw,16,0,0,0.0,0.0,0.0,0,0,0,0,0,1
0,http://www.rainbow-shop.com.tw/Shop/,www.rainbow-shop.com.tw,23,0,0,0.0,0.0,0.0,0,0,0,0,1,1
0,https://www.obdesign.com.tw/,www.obdesign.com.tw,19,0,0,0.0,0.0,0.0,0,0,0,0,0,1
0,https://www.queenshop.com.tw/,www.queenshop.com.tw,20,0,0,0.0,0.0,0.0,0,0,0,0,1,1
0,http://www.bai-shop.com/Shop/,www.bai-shop.com,16,0,0,0.0,0.0,0.0,0,0,0,0,0,0
0,https://www.joyce-shop.com/,www.joyce-shop.com,18,0,0,0.0,0.0,0.0,0,0,0,0,0,0
0,http://www.airspace.com.tw/,www.airspace.com.tw,19,0,0,1.0,1.0,0.12048192771084335,0,0,0,0,0,1
0,http://kemei.91app.com/v2/official,kemei.91app.com,15,1,0,1.0,4.0,1.0,0,0,0,0,0,0
0,http://www.space-picnic.com/,www.space-picnic.com,20,0,0,1.0,4.0,0.3656093489148581,0,0,0,1,0,0
0,https://www.gotobuy.com.tw/,www.gotobuy.com.tw,18,0,0,1.0,7.0,0.7307692307692307,0,0,0,0,1,1
0,https://concerto.com.tw/v2/official,concerto.com.tw,15,0,0,1.0,8.0,0.4571428571428571,0,0,0,1,0,1
0,http://www.stylemina.com/,www.stylemina.com,17,0,0,1.0,5.0,0.38235294117647056,0,0,0,0,0,0
0,https://feebee.com.tw/,feebee.com.tw,13,0,0,1.0,1.0,0.3996998499249625,0,0,0,0,0,1
0,http://class.ruten.com.tw/,class.ruten.com.tw,18,0,0,1.0,2.0,0.01,0,0,0,0,1,1
0,https://www.ruten.com.tw/,www.ruten.com.tw,16,0,0,1.0,2.0,0.01,0,0,0,0,0,1
0,http://ebuyshop.qdm.com.tw/,ebuyshop.qdm.com.tw,19,0,0,1.0,4.0,0.04166666666666666,0,0,0,0,1,1
0,https://meetdress.waca.ec/,meetdress.waca.ec,17,0,0,1.0,3.0,0.5,0,0,0,0,1,1
0,https://www.polylulu.com.tw/,www.polylulu.com.tw,19,0,0,0.0,0.0,0.0,0,0,0,0,1,1
