label,url,hostname,length_of_fqdn,replica_in_fqdn,in_top_one_million,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,china_registered,under_a_year,china_registered_dummy,under_a_year_dummy
0,http://www.miu-star.com.tw/v2/official,www.miu-star.com.tw,19,0,0,1,32,0.25548351170112504,0,0,0,0,1,0
0,https://www.tokichoi.com.tw/,www.tokichoi.com.tw,19,0,0,1,32,0.25548351170112504,0,0,0,0,1,1
0,http://candybox.com.tw/v2/official,candybox.com.tw,15,0,0,1,17,0,0,0,0,0,1,0
0,https://www.lulus.tw/v2/official,www.lulus.tw,12,0,0,1,9,0.25548351170112504,0,0,0,0,1,0
0,http://www.pufii.com.tw/Shop/,www.pufii.com.tw,16,0,0,0,0,0,0,0,0,0,1,0
0,http://www.rainbow-shop.com.tw/Shop/,www.rainbow-shop.com.tw,23,0,0,0,0,0,0,0,0,0,1,1
0,https://www.obdesign.com.tw/,www.obdesign.com.tw,19,0,0,0,0,0,0,0,0,0,1,0
0,https://www.queenshop.com.tw/,www.queenshop.com.tw,20,0,0,0,0,0,0,0,0,0,1,1
0,http://www.bai-shop.com/Shop/,www.bai-shop.com,16,0,0,0,0,0,0,0,0,0,0,0
0,https://www.joyce-shop.com/,www.joyce-shop.com,18,0,0,0,0,0,0,0,0,0,0,0
0,http://www.airspace.com.tw/,www.airspace.com.tw,19,0,0,1,1,0.12048192771084337,0,0,0,0,1,0
0,http://kemei.91app.com/v2/official,kemei.91app.com,15,1,0,1,4,1,0,0,0,0,0,0
0,http://www.space-picnic.com/,www.space-picnic.com,20,0,0,1,4,0.3656093489148581,0,0,0,1,0,0
0,https://www.gotobuy.com.tw/,www.gotobuy.com.tw,18,0,0,1,7,0.7307692307692307,0,0,0,0,1,1
0,https://concerto.com.tw/v2/official,concerto.com.tw,15,0,0,1,8,0.45714285714285713,0,0,0,1,1,0
0,http://www.stylemina.com/,www.stylemina.com,17,0,0,1,5,0.38235294117647056,0,0,0,0,0,0
0,https://feebee.com.tw/,feebee.com.tw,13,0,0,1,1,0.3996998499249625,0,0,0,0,1,0
0,http://class.ruten.com.tw/,class.ruten.com.tw,18,0,0,1,2,0.01,0,0,0,0,1,1
0,https://www.ruten.com.tw/,www.ruten.com.tw,16,0,0,1,2,0.01,0,0,0,0,1,0
0,http://ebuyshop.qdm.com.tw/,ebuyshop.qdm.com.tw,19,0,0,1,4,0.041666666666666664,0,0,0,0,1,1
0,https://meetdress.waca.ec/,meetdress.waca.ec,17,0,0,1,3,0.5,0,0,0,0,1,1
0,https://www.polylulu.com.tw/,www.polylulu.com.tw,19,0,0,0,0,0,0,0,0,0,1,1
0,https://www.yurubra.com.tw/,www.yurubra.com.tw,18,0,0,0,0,0,0,0,0,0,1,0
0,http://www.ivenus.com.tw/v2/official,www.ivenus.com.tw,17,0,0,1,4,0.30060120240480964,0,0,0,0,1,1
0,http://www.nanamagic.com.tw/v2/official,www.nanamagic.com.tw,20,0,0,1,10,1,0,0,0,0,1,0
0,https://www.kellylove.com.tw/,www.kellylove.com.tw,20,0,0,0,0,0,0,0,0,0,1,1
0,http://www.vs-sweet.com/v2/official,www.vs-sweet.com,16,0,0,1,2,1,0,0,0,0,0,0
0,https://www.fes.com.tw/,www.fes.com.tw,14,0,0,0,0,0,0,0,0,0,1,1
0,http://la-queen.com.tw/,la-queen.com.tw,15,0,0,1,2,0.5,0,0,0,0,1,0
0,http://www.boy2.com.tw/Shop/index.aspx,www.boy2.com.tw,15,0,0,0,0,0,0,0,0,0,1,1
0,http://www.bemax.com.tw/,www.bemax.com.tw,16,0,0,0,0,0,0,0,0,0,1,0
0,http://www.bemax.com.tw/App/Shop/Default.aspx,www.bemax.com.tw,16,0,0,0,0,0,0,0,0,0,1,1
0,http://www.caco.com.tw/Shop/,www.caco.com.tw,15,0,0,0,0,0,0,0,0,0,1,0
0,http://www.freeshop-app.com.tw/v2/official,www.freeshop-app.com.tw,23,0,0,1,24,1,0,0,0,0,1,1
0,http://www.rovoleta.com.tw/,www.rovoleta.com.tw,19,0,0,0,0,0,0,0,0,0,1,0
0,http://www.rovoleta.com.tw/App/Shop/Default.aspx,www.rovoleta.com.tw,19,0,0,0,0,0,0,0,0,0,1,1
0,http://www.kuga.com.tw/,www.kuga.com.tw,15,0,0,0,0,0,0,0,0,0,1,0
0,http://bestshop.91app.com/v2/official,bestshop.91app.com,18,1,0,1,4,0,0,0,0,0,0,0
0,http://www.jerryshop.com.tw/v2/official,www.jerryshop.com.tw,20,0,0,1,2,1,0,0,0,0,1,0
0,http://amyeshop.com.tw/,amyeshop.com.tw,15,0,0,1,66,0.043859649122807015,0,0,0,0,1,1
0,http://amyeshop.com.tw/home/index.php,amyeshop.com.tw,15,0,0,1,66,0.043859649122807015,0,0,0,0,1,0
0,https://www.ur8d.com/,www.ur8d.com,12,0,0,1,2,0.45875,0,0,0,0,0,0
0,https://www.missendro.com/,www.missendro.com,17,0,0,1,12,0,0,0,0,0,0,0
0,https://www.cosmed.com.tw/,www.cosmed.com.tw,17,0,0,1,12,0,0,0,0,0,1,1
0,https://www.86shop.com.tw/,www.86shop.com.tw,17,0,0,1,12,0,0,0,0,0,1,0
0,https://www.s3.com.tw/TC/,www.s3.com.tw,13,0,0,1,12,0.5857142857142857,0,0,0,0,1,1
0,http://www.watsons.com.tw/,www.watsons.com.tw,18,0,0,1,4,0.8888888888888888,0,0,0,0,1,0
0,http://www.bgshop.com.tw/Shop/,www.bgshop.com.tw,17,0,0,0,0,0,0,0,0,0,1,1
0,https://www.fdp.com.tw/v2/official,www.fdp.com.tw,14,0,0,1,11,0.7486033519553073,0,0,0,0,1,0
0,https://www.babu.com.tw/,www.babu.com.tw,15,0,0,0,0,0,1,0,0,0,1,1
0,http://www.nailsmall.tw/,www.nailsmall.tw,16,0,0,1,4,0.8461538461538461,1,0,0,0,1,0
0,http://www.byfunme.me/,www.byfunme.me,14,0,0,1,4,0.8461538461538461,1,0,0,0,0,0
0,http://www.bonuswinner.com.tw/,www.bonuswinner.com.tw,22,0,0,0,0,0,0,0,0,0,1,0
0,http://www.bonuswinner.com.tw/home/,www.bonuswinner.com.tw,22,0,0,0,0,0,0,0,0,0,1,1
0,http://www.outdoorfun.com.tw/,www.outdoorfun.com.tw,21,0,0,1,3,0,0,0,0,0,1,0
0,http://vip.saholea.com/v2/official,vip.saholea.com,15,0,0,1,8,0,0,0,0,0,0,0
0,http://www.hair.com.tw/,www.hair.com.tw,15,0,0,0,0,0,0,0,0,0,1,0
0,http://www.pcstore.com.tw/,www.pcstore.com.tw,18,0,0,1,2,0.4443071491615181,0,0,0,0,1,1
0,http://www.brandoff.tw/,www.brandoff.tw,15,0,0,0,0,0,0,0,0,0,1,0
0,http://www.luxury.com.tw/v3/index.asp?src=,www.luxury.com.tw,17,0,0,1,4,0,0,0,0,0,1,1
0,http://www.thebrandboutique.co.za/,www.thebrandboutique.co.za,26,0,0,0,0,0,0,0,0,0,1,0
0,https://www.520used.com/,www.520used.com,15,1,0,0,0,0,0,0,0,0,0,0
0,http://iomagic.com/,iomagic.com,11,0,1,1,3,0.5617977528089888,0,0,0,0,0,0
0,https://en.wikipedia.org/,en.wikipedia.org,16,0,1,1,3,0.5617977528089888,0,0,0,0,0,0
