label,url,hostname,length_of_fqdn,replica_in_fqdn,in_top_one_million,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,china_registered,under_a_year,china_registered_dummy,under_a_year_dummy,contain_emails_dummy
0,https://www.acer.com/worldwide/selection.html,www.acer.com,12,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.acer.com/ac/en/US/content/home,www.acer.com,12,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.asus.com/tw/,www.asus.com,12,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.apple.com/,www.apple.com,13,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.amai.tw/v2/official,www.amai.tw,11,0,0,1,62,1,0,0,0,0,1,0,0
0,http://www.anns.tw/v2/official,www.anns.tw,11,0,0,1,6,0.9004237288135594,0,0,0,0,1,0,0
0,https://www.aluxediamond.com/tw/,www.aluxediamond.com,20,0,0,1,1,0,0,0,0,0,0,0,0
0,http://sarah142000.pixnet.net/blog,sarah142000.pixnet.net,22,1,0,0,0,0,0,1,0,0,0,0,0
0,http://www.as-eweb.com/,www.as-eweb.com,15,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.arnoldpalmer-bag.com/,www.arnoldpalmer-bag.com,24,0,0,0,0,0,0,0,0,1,0,0,0
0,http://www.bobsonjeans.com.tw/,www.bobsonjeans.com.tw,22,0,0,0,0,0,0,1,0,0,1,0,0
0,https://www.bossini.com.tw/,www.bossini.com.tw,18,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.bfw.com.tw/,www.bfw.com.tw,14,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.bioessence.com.tw/,www.bioessence.com.tw,21,0,0,0,0,0,0,0,0,0,1,1,0
0,https://www.braun.tw/zh-tw,www.braun.tw,12,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.bigtrain.tw/v2/official,www.bigtrain.tw,15,0,0,1,23,0,0,0,0,0,1,0,0
0,http://www.beartwo.com.tw/,www.beartwo.com.tw,18,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.btu.com.tw/,www.btu.com.tw,14,0,0,1,2,0,0,0,0,0,1,1,0
